date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:10	165292/165292	---M-Z	200	added ('OK')	text/html	etag:%22285ac-5cc2f00e7e2ff-gzip%22	http://minia.php.themesbrand.com/index.html	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/index.html	(from )
11:32:11	287/287	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jun%202022%2006:02:10%20GMT	http://minia.php.themesbrand.com/robots.txt		(from )
11:32:11	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/favicon.ico	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/favicon.ico	(from http://minia.php.themesbrand.com/index.html)
11:32:12	692/692	---M-Z	200	added ('OK')	text/css	etag:%222b4-5cc2f00e3fae9-gzip%22	http://minia.php.themesbrand.com/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	(from http://minia.php.themesbrand.com/index.html)
11:32:13	1831/1831	---M-Z	200	added ('OK')	text/css	etag:%22727-5cc2f00e15afa-gzip%22	http://minia.php.themesbrand.com/assets/css/preloader.min.css	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/css/preloader.min.css	(from http://minia.php.themesbrand.com/index.html)
11:32:14	229096/229096	---M-Z	200	added ('OK')	text/css	etag:%2237ee8-5cc2f00e0ed97-gzip%22	http://minia.php.themesbrand.com/assets/css/bootstrap.min.css	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/css/bootstrap.min.css	(from http://minia.php.themesbrand.com/index.html)
11:32:18	105282/105282	---M-Z	200	added ('OK')	text/css	etag:%2219b42-5cc2f00e0af16-gzip%22	http://minia.php.themesbrand.com/assets/css/app.min.css	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/css/app.min.css	(from http://minia.php.themesbrand.com/index.html)
11:32:20	1268/1268	---M--	200	added ('OK')	image/svg+xml	etag:%224f4-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/logo-sm.svg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/logo-sm.svg	(from http://minia.php.themesbrand.com/index.html)
11:32:22	404400/404400	---MCZ	200	added ('OK')	text/css	etag:%2262bb0-5cc2f00e14b59-gzip%22	http://minia.php.themesbrand.com/assets/css/icons.min.css	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/css/icons.min.css	(from http://minia.php.themesbrand.com/index.html)
11:32:22	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/flags/us.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/flags/us.jpg	(from http://minia.php.themesbrand.com/index.html)
11:32:36	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/flags/germany.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/flags/germany.jpg	(from http://minia.php.themesbrand.com/index.html)
11:32:37	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/flags/italy.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/flags/italy.jpg	(from http://minia.php.themesbrand.com/index.html)
11:32:38	633/633	---M--	200	added ('OK')	image/jpeg	etag:%22279-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/flags/russia.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/flags/russia.jpg	(from http://minia.php.themesbrand.com/index.html)
11:32:39	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/brands/github.png	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/brands/github.png	(from http://minia.php.themesbrand.com/index.html)
11:32:40	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/brands/bitbucket.png	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/brands/bitbucket.png	(from http://minia.php.themesbrand.com/index.html)
11:32:41	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/brands/dribbble.png	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/brands/dribbble.png	(from http://minia.php.themesbrand.com/index.html)
11:32:42	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/brands/dropbox.png	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/brands/dropbox.png	(from http://minia.php.themesbrand.com/index.html)
11:32:43	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5cc2f00e33f64%22	http://minia.php.themesbrand.com/assets/images/brands/mail_chimp.png	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/brands/mail_chimp.png	(from http://minia.php.themesbrand.com/index.html)
